country,number of movies,number of primary movies
Canada,455,193
Palestine,1,1
Argentina,33,20
Cameroon,1,0
Ghana,1,0
Saudi Arabia,2,1
Slovenia,2,0
Bosnia and Herzegovina,2,1
Germany,573,175
Spain,149,72
Netherlands,73,24
Monaco,1,0
New Zealand,45,25
Jamaica,1,1
United Arab Emirates,15,0
India,41,21
Kenya,1,0
South Korea,42,30
Turkey,13,8
Afghanistan,2,2
Ireland,89,39
France,817,393
Federal Republic of Yugoslavia,2,2
Slovakia,4,0
Peru,5,1
Laos,1,0
Norway,34,9
Singapore,7,1
China,66,27
Ukraine,2,0
Indonesia,4,2
Finland,28,17
Liechtenstein,2,0
Vietnam,5,3
Russia,23,14
Bulgaria,6,0
Romania,12,3
Angola,2,0
Portugal,6,2
South Africa,32,8
Sweden,93,45
Malaysia,1,0
Austria,33,10
UK,1406,925
Hungary,24,6
Brazil,33,24
Panama,3,0
Luxembourg,23,0
Bahamas,2,1
West Germany,81,33
Ecuador,2,0
Czech Republic,36,10
Australia,186,100
Iran,18,14
Bhutan,1,1
Algeria,2,0
Chile,6,3
Puerto Rico,4,1
Belgium,68,14
Thailand,9,7
Haiti,1,0
Hong Kong,110,69
Denmark,77,39
Philippines,3,0
N/A,3,3
Morocco,3,0
Croatia,1,0
Switzerland,51,6
Estonia,1,1
Uruguay,2,1
Lebanon,2,0
Tunisia,1,0
Colombia,4,2
Taiwan,20,7
Cyprus,1,0
Isle Of Man,2,0
Italy,284,129
USA,7183,6308
Nepal,1,0
Malta,2,0
Israel,16,8
Iceland,11,2
Czechoslovakia,4,3
Jordan,3,0
Kazakhstan,3,0
Poland,27,6
Uganda,1,0
Latvia,1,0
Japan,336,204
Soviet Union,17,15
Mexico,47,22
Egypt,2,0
Republic of Macedonia,1,1
Cuba,5,3
Serbia,3,2
Yugoslavia,2,0
Greece,11,4
Paraguay,1,0
Botswana,3,1
